名次,标的,得分,建议均线,均线来源,Δ盈亏,白名单,跨年轮次,成交年,盈利年,稳定性,年等权盈亏,胜率,利润因子,策略质量,trail占比,最大回撤,年化波动,贴线率,近期,未过原因,盈亏2021,盈亏2022,盈亏2023,盈亏2024,盈亏2025,盈亏2026
32,600600.SH,66.71259842519686,SMA,compare,-15999,,22,5,4,80,1011.8333333333334,72.72727272727273,1.5467399135446687,0.5454545454545454,77.27272727272727,-8.796,22.228298681121096,75.9656652360515,无近期,,2724,165,5970,-3894,1106,0
33,600741.SH,66.496062992126,SMA,compare,-20909,,20,5,3,60,1306.5,79.99,1.5412178956089477,0.6,80,-18,21.211929966877914,48.06866952789699,无近期,,2783,0,9519,-2568,7105,-9000
34,600015.SH,66.02362204724409,EMA,compare,23453,,27,6,3,50,4718.833333333333,66.65925925925927,2.5840326731565404,0.44444444444444453,70.37037037037037,-9.674000000000001,19.55865526955951,57.08154506437768,无近期,,-4837,-3413,20556,14741,3851,-2585
35,600019.SH,65.59055118110237,SMA,compare,-13025,,23,5,3,60,2165.6666666666665,69.57391304347826,2.0375279463430216,0.4782608695652174,73.91304347826086,-8.3566,21.79224366892744,59.227467811158796,无近期,,7697,0,-1703,3958,4898,-1856
36,601088.SH,64.09448818897638,SMA,compare,-16307,,23,6,3,50,4895,69.56521739130434,2.2019152070715338,0.34782608695652173,65.21739130434783,-11.638,26.127516650740567,47.21030042918455,无近期,,30336,-2664,-4301,-2856,5692,3163
37,600372.SH,63.464566929133845,EMA,compare,5561.8,,29,5,3,60,1311.6666666666667,75.8793103448276,1.52882677059535,0.5172413793103448,75.86206896551724,-8.296199999999999,24.44567094368551,56.65236051502146,无近期,,-347,1798,667,-1271,7023,0
38,601800.SH,62.71653543307087,EMA,compare,8265,,14,4,2,50,2252.6666666666665,64.27142857142857,2.696711021842832,0.6428571428571428,78.57142857142857,-7.434,18.6769570198004,59.227467811158796,无近期,,0,-3717,13771,3913,-451,0
39,600674.SH,62.26377952755906,EMA,compare,20665,,36,6,4,66.66666666666666,2759,63.891666666666666,1.5519287833827893,0.41666666666666663,69.44444444444444,-18.666,20.686035478275837,60.51502145922747,无近期,,10099,1783,7097,2280,-948,-3757
40,601699.SH,61.417322834645674,SMA,compare,-15961.3,,24,4,2,50,3979.3333333333335,66.67500000000001,2.3270342374388617,0.33333333333333326,66.66666666666666,-12.286,51.030779573600896,24.463519313304722,无近期,,0,17920,-5320,-1502,0,12778
41,000858.SZ,61.318897637795274,EMA,compare,8680,,19,5,4,80,2334.8333333333335,63.16842105263158,2.2428140525195173,0.26315789473684215,63.1578947368421,-5.7248,28.30704257138756,51.072961373390555,无近期,,1627,2622,6917,4344,-1501,0
42,600803.SH,60.86614173228347,EMA,compare,7244,,42,6,5,83.33333333333334,2221.3333333333335,64.27619047619048,1.469510691513721,0.2857142857142858,64.28571428571429,-10.943999999999999,30.139340399188736,38.62660944206009,无近期,,3960,-5330,2343,2266,8833,1256
43,600795.SH,60.275590551181104,EMA,compare,2130,,23,6,3,50,3124.5,69.54782608695652,2.1017277856135403,0.3478260869565218,65.21739130434783,-10.979999999999999,19.418655836543437,46.78111587982833,无近期,,18239,1177,-3075,-208,4788,-2174
44,601169.SH,58.700787401574814,EMA,compare,14141,,32,5,3,60,3792.8333333333335,59.36874999999999,1.9037369445216632,0.375,62.5,-15.6278,16.324238802408438,68.6695278969957,无近期,,-5140,-5994,21883,6652,5356,0
45,002236.SZ,58.523622047244096,SMA,compare,-2849.6399999999994,,15,5,3,60,2821.1666666666665,66.65333333333334,2.0861084376002568,0.2,60,-9.9331,25.852008321597026,47.63948497854077,无近期,,1300,0,-2850,4000,17222,-2745
46,600029.SH,58.38582677165355,SMA,compare,-6536,,26,5,2,40,1994.1666666666667,69.21923076923078,1.6470715483208047,0.6923076923076923,84.61538461538461,-13.898,17.277401945459193,44.63519313304721,无近期,,15254,-4038,-2130,4339,-1460,0
47,601006.SH,57.8740157480315,EMA,compare,3712,,42,5,2,40,2913.1666666666665,71.41904761904762,1.6084943429068757,0.40476190476190477,66.66666666666666,-13.136600000000001,19.45688129963484,62.66094420600859,无近期,,-5137,15559,12788,-1414,-4317,0
48,600845.SH,56.712598425196845,EMA,compare,5377.039999999999,,18,5,4,80,1795.2483333333332,61.09444444444445,2.473753844638303,0.22222222222222227,61.111111111111114,-7.323300000000001,38.55065241104212,39.05579399141631,无近期,,8514.31,1719.18,801.67,-3661.67,0,3398
49,000651.SZ,56.65354330708661,EMA,compare,867,,24,6,3,50,1827.6666666666667,70.84583333333333,1.479702537182852,0.45833333333333337,70.83333333333334,-12.8414,18.92309583937348,74.2489270386266,无近期,,-3685,-3171,1692,17845,-2677,962
50,000166.SZ,56.57480314960629,EMA,compare,17778.9,,24,5,3,60,3546.933333333334,62.50833333333333,2.4892026926791035,0.08333333333333331,54.166666666666664,-12.9851,18.70478162426648,64.8068669527897,无近期,,17891,0,9227,-6391.6,652.2,-97
51,002352.SZ,56.02362204724409,SMA,compare,-2428,,11,3,2,66.66666666666666,1512.1666666666667,63.6090909090909,2.1809189118833787,0.3636363636363636,63.63636363636363,-10.116,19.122643727442796,64.37768240343348,无近期,,0,347,-5058,0,13784,0
52,600233.SH,55.94488188976378,SMA,compare,-4261,,11,4,2,50,1134.8333333333333,63.627272727272725,4.570529627687467,0.6363636363636365,81.81818181818183,-3.15,35.04563446530918,30.90128755364807,无近期,,0,454,-1575,-23,0,7953
53,002493.SZ,55.669291338582674,EMA,compare,3359,,25,6,3,50,1374.5,76.004,1.403967670830272,0.44,72,-15.7536,47.63870576596602,21.888412017167383,无近期,,8427,-6127,-2501,-4052,9119,3381
54,601058.SH,55.47244094488188,EMA,compare,501,,30,6,4,66.66666666666666,876,73.32666666666665,1.191113373572831,0.4,70,-19.0559,37.194817266324016,42.91845493562232,无近期,,7322,-7391,155,4176,6424,-5430
55,600219.SH,55.118110236220474,SMA,compare,-1565,,16,5,3,60,1781.1666666666667,62.487500000000004,1.630352719122331,0.5,75,-14.968,53.063833675602076,25.321888412017167,无近期,,1048,-7484,-3618,16870,3871,0
56,601966.SH,54.58661417322834,SMA,compare,-8997.8,,19,5,3,60,1412.3333333333333,68.42105263157895,2.0691395407519555,0.26315789473684215,63.1578947368421,-7.8100000000000005,23.61266648025336,63.519313304721024,无近期,,-3905,0,9635,3238,-560,66
57,600660.SH,54.17322834645669,SMA,compare,-3111,,20,5,2,40,2655.8333333333335,64.985,1.9382912324088795,0.4499999999999999,70,-10.1624,31.401393971566794,54.93562231759657,无近期,,-763,-3542,217,22581,-2558,0
58,600025.SH,52.99212598425197,EMA,compare,15047,,31,6,2,33.33333333333333,2268.5,67.7548387096774,1.7065510797342194,0.4516129032258065,70.96774193548387,-11.346,18.0263501203764,58.798283261802574,无近期,,9947,-2326,17945,-2880,-3652,-5423
59,300014.SZ,52.85433070866142,EMA,compare,2623.67,,22,5,3,60,1050.7783333333334,68.18636363636364,1.275814987359094,0.4545454545454546,72.72727272727273,-20.1045,36.38545838546364,26.609442060085836,无近期,,2650,7714,0,3888,-4765,-3182.33
60,601111.SH,51.653543307086615,SMA,compare,-10097,,33,6,3,50,1610.3333333333333,66.67575757575759,1.4096150585043243,0.45454545454545453,72.72727272727273,-16.2424,19.163292537551047,41.201716738197426,无近期,,-1029,7377,-7452,6730,8068,-4032
61,002594.SZ,51.61417322834645,EMA,compare,7345.799999999999,,14,4,2,50,2472.61,64.27142857142857,2.6770393179552223,0.14285714285714285,57.14285714285714,-7.162,29.294403196148473,47.63948497854077,无近期,,0,0,-2081.34,1191,16870,-1144
62,601100.SH,51.338582677165356,SMA,compare,-8764,,26,5,2,40,2163.5,69.23076923076923,1.5489955593148657,0.3846153846153846,69.23076923076923,-15.65,53.0026277129646,37.76824034334764,无近期,,-7825,-492,-2497,0,20899,2896
63,000786.SZ,51.27952755905512,EMA,compare,4250,,24,6,4,66.66666666666666,859.8333333333334,66.6625,1.3153615746683782,0.41666666666666663,70.83333333333334,-13.0795,44.24841336758088,40.772532188841204,无近期,,-3015,170,-3089,10029,668,396
64,601898.SH,50.62992125984251,SMA,compare,-7850,,13,5,3,60,1036.6666666666667,61.53846153846154,1.523921832884097,0.5384615384615385,76.92307692307693,-13.266,44.11403008369952,23.605150214592275,无近期,,0,-6633,9397,182,3388,-114
65,601225.SH,50.01968503937009,SMA,compare,-12438,,17,6,4,66.66666666666666,1020.2333333333332,58.817647058823525,1.3993840974483105,0.5294117647058822,76.47058823529412,-18.9862,36.80571371530576,33.47639484978541,无近期,,-1632,10764,3069,-9493.1,1301.5,2112
66,601607.SH,49.803149606299215,SMA,compare,-53,,14,5,4,80,696.8333333333334,64.28571428571429,1.5810172317954418,0.28571428571428575,64.28571428571429,-4.7649,18.324990761542058,85.83690987124464,无近期,,1166,58,375,4607,-2025,0
67,600111.SH,48.48425196850393,EMA,compare,1658,,14,4,2,50,1400,64.28571428571429,1.5772799120335372,0.4285714285714286,71.42857142857143,-16.805600000000002,44.43261820767394,30.042918454935624,无近期,,0,-4752,0,546,19295,-6689
68,002920.SZ,48.287401574803155,SMA,compare,-13247,,9,5,2,40,1885.5,66.67777777777778,1.8894567182954636,0.3333333333333333,66.66666666666666,-10.7216,46.811705943852864,28.75536480686695,无近期,,9776,-2636,-1575,0,9884,-4136
69,002415.SZ,47.10629921259843,SMA,compare,-2472,,10,3,2,66.66666666666666,264,70,1.142471667566109,0.39999999999999997,70,-10.5814,32.73034234787631,38.62660944206009,无近期,,0,0,-3860,0,4369,1075
70,600000.SH,47.00787401574802,SMA,compare,-4956,,17,4,3,75,1024.3333333333333,64.7235294117647,1.290990009942711,0.17647058823529413,58.82352941176471,-14.213999999999999,23.035889205469886,41.201716738197426,无近期,,588,0,-7107,8830,3835,0
71,601901.SH,45.610236220472444,EMA,compare,16319.59,,30,5,3,60,752.2983333333333,66.66000000000001,1.263625160612078,0.39999999999999997,70,-11.606,16.441251006725178,66.95278969957081,无近期,,2486,-1350,3192,-2146,2331.79,0
72,600900.SH,44.96062992125984,EMA,compare,8903,,40,6,3,50,2204.28,60.00500000000001,1.4543049405913047,0.32499999999999996,62.5,-13.0493,19.817788699796633,77.6824034334764,无近期,,-565,628,429.58,15891,-2775.9,-382
73,002648.SZ,44.4488188976378,SMA,compare,-9615.279999999999,,24,6,3,50,741.0216666666666,70.8375,1.2061962814334628,0.41666666666666674,70.83333333333334,-16.0259,40.18393011029712,27.896995708154503,无近期,,5019.17,-2848.04,-6577,2576,-1526,7802
74,601238.SH,44.29133858267716,SMA,compare,-2180,,11,6,4,66.66666666666666,957.6666666666666,63.64545454545455,1.6592473611748508,0,45.45454545454545,-8.184,40.47947416133327,53.21888412017167,无近期,,225,980,-4092,9978,311,-1656
75,300413.SZ,44.09448818897638,EMA,compare,7439,,17,5,3,60,1378,58.8235294117647,1.5262219959266803,0.29411764705882354,64.70588235294117,-15.9963,39.061651311872595,21.888412017167383,无近期,,9415,-2840,-7353,0,8039,1007
76,000661.SZ,43.77952755905511,EMA,compare,13868,,18,5,3,60,822.1666666666666,66.66666666666667,1.3424505380076361,0.2222222222222222,61.111111111111114,-10.363,49.90149952526887,31.759656652360512,无近期,,3607,-2644,-4321,262,8029,0
77,002252.SZ,43.267716535433074,SMA,compare,-2308,,15,3,2,66.66666666666666,917.8333333333334,60.013333333333335,1.3520424471009398,0.26666666666666666,60,-12.866,32.67408460578348,63.0901287553648,无近期,,0,720,11220,-6433,0,0
78,002142.SZ,42.63779527559055,EMA,compare,3301.45,,31,6,3,50,562.6883333333334,70.97741935483872,1.1493004024233848,0.41935483870967744,70.96774193548387,-13.9368,25.260570242917463,52.78969957081545,无近期,,2706.13,-3517,-2466,-2464,1235,7882
79,600886.SH,42.04724409448819,SMA,compare,-7798.200000000001,,34,6,2,33.33333333333333,1910.8166666666668,64.70588235294116,1.4006450913995967,0.35294117647058826,67.64705882352942,-11.5285,20.85059449252252,50.21459227467812,无近期,,15394,-1661.1,6987,-376,-3911,-4968
80,601009.SH,39.960629921259844,SMA,compare,-4165,,27,5,3,60,383.4833333333333,70.35925925925926,1.1390103914934753,0.18518518518518523,59.25925925925925,-16.4048,18.282977413750775,56.22317596566524,无近期,,-8123,3721,0,2758,4918.9,-974
81,601288.SH,39.01574803149607,SMA,compare,-3988.92,,17,5,3,60,776.0733333333334,58.8235294117647,1.3476885673836818,0.3529411764705882,58.82352941176471,-11.6842,26.703187121263145,46.3519313304721,无近期,,-5229.48,-5842.08,3918,5111,6699,0
82,601766.SH,38.58267716535433,SMA,compare,-6772,,18,5,4,80,809.8333333333334,55.550000000000004,1.2874807715063306,0.11111111111111116,55.55555555555556,-20.468,26.4353782371138,55.36480686695279,无近期,,-10234,1888,11606,832,767,0
83,600754.SH,38.54330708661417,EMA,compare,4446,,27,6,3,50,49.833333333333336,66.65185185185186,1.01256249737406,0.6296296296296295,81.48148148148148,-15.8487,33.02219151723238,38.62660944206009,无近期,,3303,-5160,2883,4750,-3065,-2412
84,601985.SH,38.425196850393704,EMA,compare,3286,,28,6,3,50,647.6666666666666,67.85714285714286,1.2099632591311864,0.3214285714285715,64.28571428571429,-8.695500000000001,14.757407672293215,66.95278969957081,无近期,,1299,-1001,6254,-555,-3119,1008
85,000877.SZ,37.91338582677166,EMA,compare,2899,,17,5,3,60,1785.3333333333333,41.194117647058825,1.5308752106254337,0.05882352941176472,52.94117647058824,-11.324,25.45076880878423,40.343347639484975,无近期,,753,-2912,-2646,4,15513,0
86,600150.SH,37.81496062992126,SMA,compare,-1899,,19,5,4,80,958,52.642105263157895,1.3015898000944435,0.05263157894736842,52.63157894736842,-11.8457,39.039716329173125,39.91416309012876,无近期,,0,5147,3283,55,2939,-5676
87,600406.SH,35.98425196850394,SMA,compare,-5668.529999999999,,23,6,3,50,1919.2733333333333,52.16521739130435,1.4654852661789077,0.1739130434782608,56.52173913043478,-10.43,28.09685052568894,42.91845493562232,无近期,,4982.64,-5215,-1982,6955,-1350,8125
88,601600.SH,35.70866141732284,EMA,compare,9816,,20,6,2,33.33333333333333,257.75,70.015,1.0701869837523827,0.5,75,-15.383099999999999,46.22292194409446,28.32618025751073,无近期,,-178,-6805,6790,-2814,8627.5,-4074
89,600011.SH,35.59055118110236,SMA,compare,-3809,,21,4,2,50,8.833333333333334,66.66666666666667,1.0023330545406524,0.47619047619047616,71.42857142857143,-14.8478,30.259584533962506,40.343347639484975,无近期,,0,0,-5118,3847,6029,-4705
90,002601.SZ,35.0984251968504,SMA,compare,-8985,,21,6,3,50,-282,71.42380952380954,0.9378101223949719,0.4285714285714286,71.42857142857143,-12.1761,33.23310630525233,41.201716738197426,无近期,,-2196,1140,1651,-1085,-2727,1525
91,601888.SH,32.36220472440945,EMA,compare,1693,,15,4,2,50,-130.16666666666666,66.64,0.930534554834119,0.46666666666666656,73.33333333333333,-10.2324,33.75750433678058,31.759656652360512,无近期,,-4550,-3574,2184,0,5159,0
92,002271.SZ,32.28346456692914,EMA,compare,16196,,17,5,3,60,-47,64.69999999999999,0.9870636267718703,0.28571428571428575,64.28571428571429,-12.389999999999999,45.64915053749936,31.330472103004293,无近期,,-1348,629,2835,-5070,2672,0
93,601628.SH,32.18503937007874,SMA,compare,-1991.6000000000004,,18,5,2,40,1427.1666666666667,55.57222222222222,1.3836813334528184,0.22222222222222227,55.55555555555556,-15.3169,29.817962691360833,39.48497854077253,无近期,,-4264,-5574,2840,21888,-6327,0
94,601117.SH,31.496062992125985,EMA,compare,19258.6,,21,6,3,50,683.7333333333332,61.904761904761905,1.256672714759432,0.23809523809523814,61.904761904761905,-8.484,20.937632009204656,49.35622317596567,无近期,,-2362,-1642,4851,270,-1166.6,4152
95,002756.SZ,31.299212598425196,EMA,compare,17596.460000000003,,8,3,2,66.66666666666666,-133.28166666666667,62.5125,0.9341368458591843,0.25,62.5,-8.115400000000001,51.306986294975985,21.888412017167383,无近期,,0,-4057.69,0,834,2424,0
96,601857.SH,31.10236220472441,SMA,compare,-1497.4300000000003,,23,5,2,40,366.3333333333333,65.23478260869565,1.1096150009974068,0.3913043478260869,69.56521739130434,-11.802999999999999,33.41775586451314,41.63090128755365,无近期,,-613,-2991,5934,0,-914,782
97,000983.SZ,29.80314960629922,SMA,compare,-1604.0000000000002,,25,6,3,50,462.4666666666667,60.004000000000005,1.1086273987832853,0.36000000000000004,68,-17.1,34.01972014879164,40.772532188841204,无近期,,3640,-797,-2461,-330,2318.8,404
98,600309.SH,29.370078740157478,EMA,compare,10237,,22,5,2,40,1230.5,59.07727272727274,1.3385454878943508,0.09090909090909088,50,-13.930000000000001,29.738211683227195,32.18884120171674,无近期,,12556,-6620,6410,-399,-4564,0
