名次,标的,得分,建议均线,均线来源,Δ盈亏,白名单,跨年轮次,成交年,盈利年,稳定性,年等权盈亏,胜率,利润因子,策略质量,trail占比,最大回撤,年化波动,贴线率,近期,未过原因,盈亏2021,盈亏2022,盈亏2023,盈亏2024,盈亏2025,盈亏2026
54,600600.SH,55.059055118110244,SMA,compare,-10587.67,,22,5,3,60,454.99166666666673,72.72727272727273,1.1756284945402986,0.45454545454545453,72.72727272727273,-17.4537,22.308529471543476,75.9656652360515,无近期,,4469.72,-3847.86,4915.58,-3495.92,688.43,0
55,300014.SZ,54.27165354330709,EMA,compare,1301.179999999999,,22,5,3,60,825.1283333333331,68.18636363636364,1.2102550272864332,0.4545454545454546,72.72727272727273,-19.8458,36.47887847196523,26.609442060085836,无近期,,2558.23,6444.09,0,3819.72,-4690.39,-3180.88
56,601111.SH,54.23228346456693,SMA,compare,-10097,,33,6,3,50,1610.3333333333333,66.67575757575759,1.4096150585043243,0.45454545454545453,72.72727272727273,-16.2424,19.23902274037472,41.201716738197426,无近期,,-1029,7377,-7452,6730,8068,-4032
57,601607.SH,53.11023622047244,EMA,compare,413.7599999999984,,32,6,3,50,1557.765,68.75625,1.5572289120711795,0.375,68.75,-9.9276,18.354377504465464,86.26609442060087,无近期,,7414.35,1665.03,-985.64,5061.63,-3054.78,-754
58,600741.SH,52.95275590551181,SMA,compare,-18169.19,,25,5,3,60,-0.6233333333336001,72.012,0.9998312429722173,0.5599999999999999,76,-18.458199999999998,20.52216799733633,50.64377682403433,无近期,,2284.01,0,3635.97,-1794.01,5099.41,-9229.12
59,601100.SH,52.125984251968504,SMA,compare,-4172.810000000001,,26,5,2,40,2020.1250000000002,69.23076923076923,1.5066929918913237,0.3846153846153846,69.23076923076923,-17.0483,52.829254908152954,37.76824034334764,无近期,,-8524.17,-464.84,-2384.79,0,20624.38,2870.17
60,600111.SH,51.870078740157474,EMA,compare,1165.4999999999964,,14,4,2,50,1392.718333333333,64.28571428571429,1.5804145823406595,0.4285714285714286,71.42857142857143,-16.7673,44.487061443599785,30.472103004291846,无近期,,0,-4623.23,0,543.82,19109.51,-6673.79
61,002594.SZ,51.338582677165356,EMA,compare,6500.0700000000015,,14,4,2,50,2318.3733333333334,64.27142857142857,2.485124455766262,0.14285714285714285,57.14285714285714,-6.9712,29.23130720128929,47.63948497854077,无近期,,0,0,-2023.26,464.33,16608.89,-1139.72
62,601117.SH,50.944881889763785,EMA,compare,17968.78,,24,6,3,50,2199.49,62.50833333333335,1.7580131086260644,0.33333333333333326,66.66666666666666,-9.4722,20.686015062532515,51.50214592274678,无近期,,3249.69,-2522.05,5444.45,-783.39,-124.27,7932.51
63,600011.SH,50.688976377952756,EMA,compare,3200.5999999999985,,34,5,3,60,730.9366666666665,67.64411764705882,1.1180100056184734,0.4117647058823529,67.64705882352942,-16.7541,30.237707710458654,42.06008583690987,无近期,,0,1071.34,-5048.42,8267.8,-1522.43,1617.33
64,601901.SH,50.53149606299212,EMA,compare,14944.69,,30,5,3,60,724.4183333333334,66.66000000000001,1.2618073550440492,0.39999999999999997,70,-11.2118,15.863779945015565,67.38197424892704,无近期,,2367.49,-1282.09,3060.98,-2043.56,2243.69,0
65,002920.SZ,50.33464566929135,SMA,compare,-17262.53,,9,5,2,40,1818.3616666666667,66.67777777777778,1.8816876094516086,0.3333333333333333,66.66666666666666,-10.3551,46.870348009473325,29.184549356223176,无近期,,9388.47,-2545.01,-1526.49,0,9679.92,-4086.72
66,300413.SZ,49.68503937007874,EMA,compare,7088.97,,18,5,3,60,1382.3933333333334,61.099999999999994,1.5125740184330776,0.33333333333333337,66.66666666666666,-15.9863,39.00545126502737,22.317596566523605,无近期,,8985.75,-2714.97,-6974.64,0,8008.81,989.41
