名次,标的,得分,建议均线,均线来源,建议复权,复权来源,Δ盈亏,白名单,跨年轮次,年最少轮次,成交年,盈利年,稳定性,年等权盈亏,胜率,利润因子,策略质量,trail占比,最大回撤,年化波动,贴线率,近期,未过原因,盈亏2016,盈亏2017,盈亏2018,盈亏2019,盈亏2020,盈亏2021,盈亏2022,盈亏2023,盈亏2024,盈亏2025,盈亏2026
96,002142.SZ,56.98347107438016,EMA,compare,等比前复权,compare,17981.41999999999,,58,3,11,6,54.54545454545454,1701.7599999999993,68.96724137931035,1.4769761936915704,0.3793103448275862,67.24137931034483,-6.6719,24.984097549344824,54.077253218884124,无近期,,8697.72,7208.59,-2803.3,5509.18,3782.28,-465.96,-4008.06,-2237.03,-3590.87,1851.37,4775.44
97,603899.SH,56.5805785123967,EMA,compare,前复权,compare,4582,,34,0,9,4,44.44444444444444,1632.8181818181818,70.59705882352942,1.5978231926507789,0.4117647058823529,70.58823529411765,-7.088800000000001,20.199618360545365,65.23605150214593,无近期,,1250,14936,-2869,10811,-2978,510,0,-837,-2376,-486,0
98,688363.SH,56.47727272727272,EMA,compare,前复权,compare,2053,,8,0,4,3,75,527.125,75.0125,1.5055142651642293,0.25,62.5,-4.1771,40.41594190159554,32.61802575107296,无近期,,,,,0,0,5496,-4065,0,1752,1034,0
99,002415.SZ,56.07438016528925,EMA,compare,等比前复权,compare,7057.9400000000005,,40,0,10,7,70,971.2872727272727,72.4975,1.3363968794020762,0.3,65,-5.9939,32.20149213193865,39.91416309012876,无近期,,3412.47,3602.45,-3642.89,5194.7,1877.07,0,481.66,-2101.91,-3884.9,1285.41,4460.1
100,000063.SZ,55.537190082644614,EMA,compare,等比前复权,compare,5073.760000000006,,37,1,11,6,54.54545454545454,2349.034545454546,64.86216216216216,1.6200858397937155,0.2972972972972973,64.86486486486487,-10.0674,52.17192562149165,31.759656652360512,无近期,,4125.99,6223.19,-8307.6,9920.62,-2768.28,-130.4,294.95,3412.56,-3672.5,16788.27,-47.42
101,600016.SH,54.81404958677686,SMA,compare,前复权,compare,-5241.16,,32,0,8,5,62.5,1408.0381818181818,62.51562500000001,1.550414043137815,0.40625,62.5,-6.72,17.18370581508729,66.52360515021459,无近期,,1900.42,5795,-2620,987,-5694,0,0,-4015,7228,11907,0
102,002202.SZ,54.52479338842975,SMA,compare,前复权,compare,-9318.130000000001,,27,0,10,6,60,1591.138181818182,59.25185185185186,1.7718760060506367,0.4444444444444444,70.37037037037037,-6.027,71.22402398050795,17.59656652360515,无近期,,4658.82,-1927.52,-4093.78,-3263,3661,646,2660,0,18299,2889,-6027
103,600887.SH,54.31818181818181,EMA,compare,等比前复权,compare,19794.58,,48,0,10,6,60,2173.748181818182,62.50625,1.6281150975498466,0.2708333333333333,62.5,-9.459,22.58681099690582,62.231759656652365,无近期,,12657.14,6645.88,-6872.32,11381.64,-861.7,6607.75,-9458.98,0,6658.18,204.82,-3051.18
104,600919.SH,54.049586776859506,EMA,compare,等比前复权,compare,720.3500000000004,,65,0,8,5,62.5,1471.0172727272727,61.5323076923077,1.3791069337963502,0.47692307692307695,70.76923076923077,-7.4707,17.766487192407087,63.94849785407726,无近期,,0,0,0,1837.55,-7470.67,6009.34,6981.11,-6352.09,11994.12,-1105.93,4287.76
105,300750.SZ,53.89462809917356,SMA,compare,前复权,compare,-2557.4299999999985,,21,0,5,3,60,1852.7111111111108,57.15238095238095,2.229675516224189,0.3333333333333333,66.66666666666666,-3.7310000000000003,38.94822767538463,37.76824034334764,无近期,,,,0,0,0,0,-1857.78,-2518.22,17668.6,1744.7,1637.1
